model_name,prompt_tokens,response_tokens,total_tokens,total_time,preprocess_time,generation_time,total_tokens_per_second,preprocess_speed,generation_speed,timestamp,success,error_message,streaming_used
Qwen_Qwen3-30B-A3B-FP8,119436,911,120347,11.676866054534912,0.550717830657959,11.126148223876953,10306.446904326796,216873.31215934348,81.87918960534557,2025-07-30T17:31:22.445078,True,,True
Qwen_Qwen3-30B-A3B-FP8,119430,1024,120454,13.156776666641235,0.6389520168304443,12.517824649810791,9155.281954843005,186915.44412433176,81.80335071361444,2025-07-30T17:31:35.901121,True,,True
Qwen_Qwen3-30B-A3B-FP8,119424,1014,120438,12.945443630218506,0.5881993770599365,12.35724425315857,9303.505035459888,203033.1970035917,82.05713015187969,2025-07-30T17:31:49.404818,True,,True
Qwen_Qwen3-30B-A3B-FP8,119428,856,120284,11.123767375946045,0.6609940528869629,10.462773323059082,10813.243025928541,180679.38656692192,81.81387224680164,2025-07-30T17:32:01.104119,True,,True
Qwen_Qwen3-30B-A3B-FP8,119437,1024,120461,13.116641759872437,0.5485677719116211,12.568073987960815,9183.829382954156,217725.1492259416,81.47628673899501,2025-07-30T17:32:14.527537,True,,True
Qwen_Qwen3-30B-A3B-FP8,119436,791,120227,10.21892523765564,0.5380146503448486,9.680910587310791,11765.131577338138,221993.9548550317,81.70718992455106,2025-07-30T17:32:25.053400,True,,True
Qwen_Qwen3-30B-A3B-FP8,119427,1024,120451,13.16047716140747,0.6439123153686523,12.516564846038818,9152.479695281669,185470.90519867712,81.81158429615539,2025-07-30T17:32:38.522942,True,,True
Qwen_Qwen3-30B-A3B-FP8,119440,1024,120464,13.211339950561523,0.7032690048217773,12.508070945739746,9118.227254070462,169835.43875969414,81.86714038016987,2025-07-30T17:32:52.047227,True,,True
Qwen_Qwen3-30B-A3B-FP8,119426,1024,120450,13.17883014678955,0.6923079490661621,12.486522197723389,9139.65797103337,172504.15824502797,82.00842346531857,2025-07-30T17:33:05.536026,True,,True
Qwen_Qwen3-30B-A3B-FP8,119428,1024,120452,13.165568828582764,0.6327493190765381,12.532819509506226,9149.016010496702,188744.57292865746,81.70547730487057,2025-07-30T17:33:19.004774,True,,True
